Event	ID	Name			Wwise Object Path	Notes
	166950546	Play_ChargerMissRight			\Default Work Unit\Charger\Play_ChargerMissRight	
	282746656	Play_ChargerFootstepRight			\Default Work Unit\Charger\Play_ChargerFootstepRight	
	520370339	Play_ChargerHitRight			\Default Work Unit\Charger\Play_ChargerHitRight	
	543040975	Play_ChargerMissLeft			\Default Work Unit\Charger\Play_ChargerMissLeft	
	590263643	WeakenTokenSelect			\Default Work Unit\UI\WeakenTokenSelect	
	732023582	PlayerFootstepSolidLeft			\Default Work Unit\Player\Footsteps\PlayerFootstepSolidLeft	
	846198821	PlayerLand			\Default Work Unit\Player\PlayerLand	
	899748333	WeaponSwing			\Default Work Unit\Player\WeaponSwing	
	953277036	Resume			\Default Work Unit\UI\Resume	
	1517328899	FoodBiomeSelect			\Default Work Unit\UI\FoodBiomeSelect	
	2492898533	EmpowerTokenSelect			\Default Work Unit\UI\EmpowerTokenSelect	
	2525052962	PlayerDash			\Default Work Unit\Player\PlayerDash	
	2655804996	Play_ChargerHitLeft			\Default Work Unit\Charger\Play_ChargerHitLeft	
	2903558085	ButtonSelect			\Default Work Unit\UI\ButtonSelect	
	3035572085	ButtonHover			\Default Work Unit\UI\ButtonHover	
	3092587493	Pause			\Default Work Unit\UI\Pause	
	3128074203	CardSelect			\Default Work Unit\UI\CardSelect	
	3581650749	PlayerFootstepSolidRight			\Default Work Unit\Player\Footsteps\PlayerFootstepSolidRight	
	3632326709	Play_ChargerFootstepLeft			\Default Work Unit\Charger\Play_ChargerFootstepLeft	
	4008126242	PlayerJump			\Default Work Unit\Player\PlayerJump	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	35863944	BaseWeaponSwing	C:\Users\Tshiknn\unity-projects\aspen_project\WwiseProject\.cache\Mac\SFX\swoosh_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\BaseWeaponSwing		79968
	72517855	FoodBiomeSelect	C:\Users\Tshiknn\unity-projects\aspen_project\WwiseProject\.cache\Mac\SFX\FoodBiomeSelect_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\UI\FoodBiomeSelect		394644
	104266447	ChargerFootstepRight	C:\Users\Tshiknn\unity-projects\aspen_project\WwiseProject\.cache\Mac\SFX\ChargerFootstepRight_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Charger\ChargerFootstepRight		284972
	196077149	CardSelect	C:\Users\Tshiknn\unity-projects\aspen_project\WwiseProject\.cache\Mac\SFX\CardSelect_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\UI\CardSelect		853824
	203157227	PlayerFootstepSolidRight	C:\Users\Tshiknn\unity-projects\aspen_project\WwiseProject\.cache\Mac\SFX\PlayerFootstepSolidRight_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\PlayerFootstepSolidRight		284696
	267959341	ButtonSelect	C:\Users\Tshiknn\unity-projects\aspen_project\WwiseProject\.cache\Mac\SFX\ButtonSelect_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\UI\ButtonSelect		410208
	271256691	PlayerLand	C:\Users\Tshiknn\unity-projects\aspen_project\WwiseProject\.cache\Mac\SFX\PlayerLand_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\PlayerLand		301504
	279842676	Resume	C:\Users\Tshiknn\unity-projects\aspen_project\WwiseProject\.cache\Mac\SFX\Resume_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\UI\Resume		1059936
	291466921	Pause	C:\Users\Tshiknn\unity-projects\aspen_project\WwiseProject\.cache\Mac\SFX\Pause_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\UI\Pause		1059936
	440275923	ChargerFootstepLeft	C:\Users\Tshiknn\unity-projects\aspen_project\WwiseProject\.cache\Mac\SFX\ChargerFootstepLeft_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Charger\ChargerFootstepLeft		284972
